drug_code,generic_name,brand_name,strength,source_pharmacy_name,destination_pharmacy_name,quantity,transaction_type,created_at
F04-5454-01851-01,"Calamine,Dimethicone,Zinc oxide",VASOGEN,"1.5 g,20 g,7.5 g",FRN Retail Branch - Khalifa City,FSC Dialysis Pharmacy,34,TRANSFER_IN,2026-04-09T04:11:23.666+00:00
F91-D549-18140-01,Sitagliptin Hydrochloride Monohydrate 56.69mg equivalent to Sitagliptin 50mg,EMIJAN,50 mg/1Tablet,Emergency Pharmacy,FGH Emergency Pharmacy,15,TRANSFER_IN,2026-04-09T04:16:04.175+00:00
F91-D549-18140-01,Sitagliptin Hydrochloride Monohydrate 56.69mg equivalent to Sitagliptin 50mg,EMIJAN,50 mg/1Tablet,Emergency Pharmacy,FGH Emergency Pharmacy,15,TRANSFER_OUT,2026-04-09T04:16:04.175+00:00
EU7-A442-17781-01,Iscador P 10mg - Mistletoe plant extract (50 mg extract corresponds to an amount of 10 mg fresh plant material),ISCADOR P,50 mg/ml,FRN Retail Branch - Khalifa City,FGH Emergency Pharmacy,4,TRANSFER_OUT,2026-04-09T10:58:50.482+00:00
EU7-A442-17781-01,Iscador P 10mg - Mistletoe plant extract (50 mg extract corresponds to an amount of 10 mg fresh plant material),ISCADOR P,50 mg/ml,FRN Retail Branch - Khalifa City,FGH Emergency Pharmacy,4,TRANSFER_IN,2026-04-09T10:58:50.482+00:00
F69-5059-05741-01,Vaccine-Pneumococcal polysaccharide from each of 10 capsular types of Streptococcus pneumoniae (conjugated to carrier proteins of Diphtheria toxoid- H. influenzae & Tetanus toxoid) adsorbed,SYNFLORIX VACCINE,1 mgor3mgofeach/0.5ml,FRN Retail Branch - Baniyas,FGH Emergency Pharmacy,2,TRANSFER_OUT,2026-04-09T11:06:54.144+00:00
F69-5059-05741-01,Vaccine-Pneumococcal polysaccharide from each of 10 capsular types of Streptococcus pneumoniae (conjugated to carrier proteins of Diphtheria toxoid- H. influenzae & Tetanus toxoid) adsorbed,SYNFLORIX VACCINE,1 mgor3mgofeach/0.5ml,FRN Retail Branch - Baniyas,FGH Emergency Pharmacy,2,TRANSFER_IN,2026-04-09T11:06:54.144+00:00
FQ3-A670-11584-02,"Atropa belladonna D6,Euphrasia 3c D6,Mercurius sublimatus corrosivus D6",Similasan Dry Eye Relief,"303.333 mg/1g,303.333 mg/1g,303.333 mg/1g",Emergency Pharmacy,FGH Emergency Pharmacy,6,TRANSFER_OUT,2026-04-09T11:26:28.426+00:00
FQ3-A670-11584-02,"Atropa belladonna D6,Euphrasia 3c D6,Mercurius sublimatus corrosivus D6",Similasan Dry Eye Relief,"303.333 mg/1g,303.333 mg/1g,303.333 mg/1g",Emergency Pharmacy,FGH Emergency Pharmacy,6,TRANSFER_IN,2026-04-09T11:26:28.426+00:00
J23-3596-03616-03,Meloxicam,NEOXICAM,7.5 mg,FRN Retail Branch - Abu Dhabi,FGH OR Pharmacy,3,TRANSFER_IN,2026-04-09T14:30:32.153+00:00
J23-3596-03616-03,Meloxicam,NEOXICAM,7.5 mg,FRN Retail Branch - Abu Dhabi,FGH OR Pharmacy,3,TRANSFER_OUT,2026-04-09T14:30:32.153+00:00
J81-0690-05308-01,Standardised lyophilisate of bacterial lysates,BRONCHOVAXOM,40 mg,FRN Retail Branch - Al Ain,FGH Emergency Pharmacy,19,TRANSFER_OUT,2026-04-09T20:21:55.473+00:00
J81-0690-05308-01,Standardised lyophilisate of bacterial lysates,BRONCHOVAXOM,40 mg,FRN Retail Branch - Al Ain,FGH Emergency Pharmacy,19,TRANSFER_IN,2026-04-09T20:21:55.473+00:00
FO3-A689-11397-02,"Activated charcoal,Simethicone (Simeticone)",BLOAT - EZ,"250 mg/1Tablet,80 mg/1Tablet",FRN Retail Branch - Baniyas,FGH Pediatric Pharmacy,2,TRANSFER_IN,2026-04-09T22:10:58.652+00:00
FO3-A689-11397-02,"Activated charcoal,Simethicone (Simeticone)",BLOAT - EZ,"250 mg/1Tablet,80 mg/1Tablet",FRN Retail Branch - Baniyas,FGH Pediatric Pharmacy,2,TRANSFER_OUT,2026-04-09T22:10:58.652+00:00
EV7-B667-13525-01,Herbal Combination,VARISTASI Plus Gel ,9 Combination,FRN Retail Branch - Abu Dhabi,FalconMed Main Pharmacy,19,TRANSFER_OUT,2026-04-10T13:47:50.79+00:00
EV7-B667-13525-01,Herbal Combination,VARISTASI Plus Gel ,9 Combination,FRN Retail Branch - Abu Dhabi,FalconMed Main Pharmacy,19,TRANSFER_IN,2026-04-10T13:47:50.79+00:00
J82-B149-12335-01,Sesame Oil,AEROSE PLUS,99.75,FRN Retail Branch - Abu Dhabi,FRN Retail Branch - Al Ain,19,TRANSFER_OUT,2026-04-11T05:18:42.153+00:00
J82-B149-12335-01,Sesame Oil,AEROSE PLUS,99.75,FRN Retail Branch - Abu Dhabi,FRN Retail Branch - Al Ain,19,TRANSFER_IN,2026-04-11T05:18:42.153+00:00
F91-E127-03894-01,"Iron amino acid chelate 10% (Elemental Iron 15mg),Zinc amino acid chelate 10% (Elemental Zinc 11mg),Copper amino acid chelate 6% (Elemental Copper 0.9mg),Molybdenum amino acid chelate 0.2% (Elemental Molybdenum 45mcg),Riboflavin (Vitamin B2),Pyridoxine HCl equivalent to 1.398mg Vitamin B6",EMITRON F CAPSULES,"150 mg/1 Capsule,110 mg/Capsule,15 mg/1 Capsule,22.5 mg/1 Capsule,1.3 mg/1 Capsule,1.7 mg/Capsule",FRN Retail Branch - Al Ain,FSC Ambulatory Care Pharmacy,95,TRANSFER_OUT,2026-04-12T02:33:25.318+00:00
F91-E127-03894-01,"Iron amino acid chelate 10% (Elemental Iron 15mg),Zinc amino acid chelate 10% (Elemental Zinc 11mg),Copper amino acid chelate 6% (Elemental Copper 0.9mg),Molybdenum amino acid chelate 0.2% (Elemental Molybdenum 45mcg),Riboflavin (Vitamin B2),Pyridoxine HCl equivalent to 1.398mg Vitamin B6",EMITRON F CAPSULES,"150 mg/1 Capsule,110 mg/Capsule,15 mg/1 Capsule,22.5 mg/1 Capsule,1.3 mg/1 Capsule,1.7 mg/Capsule",FRN Retail Branch - Al Ain,FSC Ambulatory Care Pharmacy,95,TRANSFER_IN,2026-04-12T02:33:25.318+00:00
F69-5059-05741-01,Vaccine-Pneumococcal polysaccharide from each of 10 capsular types of Streptococcus pneumoniae (conjugated to carrier proteins of Diphtheria toxoid- H. influenzae & Tetanus toxoid) adsorbed,SYNFLORIX VACCINE,1 mgor3mgofeach/0.5ml,FRN Retail Branch - Baniyas,FGH ICU Pharmacy,3,TRANSFER_IN,2026-04-12T06:09:54.578+00:00
F69-5059-05741-01,Vaccine-Pneumococcal polysaccharide from each of 10 capsular types of Streptococcus pneumoniae (conjugated to carrier proteins of Diphtheria toxoid- H. influenzae & Tetanus toxoid) adsorbed,SYNFLORIX VACCINE,1 mgor3mgofeach/0.5ml,FRN Retail Branch - Baniyas,FGH ICU Pharmacy,3,TRANSFER_OUT,2026-04-12T06:09:54.578+00:00
J30-7058-00730-01,Bisoprolol Fumarate,PROLOBIS,5 mg,Emergency Pharmacy,FSC Ambulatory Care Pharmacy,79,TRANSFER_IN,2026-04-13T14:13:54.533+00:00
J30-7058-00730-01,Bisoprolol Fumarate,PROLOBIS,5 mg,Emergency Pharmacy,FSC Ambulatory Care Pharmacy,79,TRANSFER_OUT,2026-04-13T14:13:54.533+00:00
FB3-1735-02167-02,Estradiol,ESTRADIOL,1 mg,FSC Dialysis Pharmacy,FSC Day Surgery Pharmacy,20,TRANSFER_OUT,2026-04-14T13:55:23.627+00:00
FB3-1735-02167-02,Estradiol,ESTRADIOL,1 mg,FSC Dialysis Pharmacy,FSC Day Surgery Pharmacy,20,TRANSFER_IN,2026-04-14T13:55:23.627+00:00
J39-4212-04568-01,"Podophyllum Resin,Salicylic Acid",POSALFILIN,"200 mg/g,250 mg/g",FSC Day Surgery Pharmacy,FGH OR Pharmacy,42,TRANSFER_IN,2026-04-14T16:11:18.32+00:00
J39-4212-04568-01,"Podophyllum Resin,Salicylic Acid",POSALFILIN,"200 mg/g,250 mg/g",FSC Day Surgery Pharmacy,FGH OR Pharmacy,42,TRANSFER_OUT,2026-04-14T16:11:18.32+00:00
F24-3666-02635-01,Glyceryl Trinitrate,NITRONAL AQUEOUS,1 mg/ml,FRN Retail Branch - Khalifa City,FGH OR Pharmacy,3,TRANSFER_OUT,2026-04-14T19:19:45.964+00:00
F24-3666-02635-01,Glyceryl Trinitrate,NITRONAL AQUEOUS,1 mg/ml,FRN Retail Branch - Khalifa City,FGH OR Pharmacy,3,TRANSFER_IN,2026-04-14T19:19:45.964+00:00
F91-E115-19588-01,Vonoprazan Fumarate 13.361 mg equivalent to Vonoprazan 10 mg,VONACAB,10 mg/1Tablet,Emergency Pharmacy,FGH Main Inpatient Pharmacy,23,TRANSFER_IN,2026-04-14T20:02:07.275+00:00
F91-E115-19588-01,Vonoprazan Fumarate 13.361 mg equivalent to Vonoprazan 10 mg,VONACAB,10 mg/1Tablet,Emergency Pharmacy,FGH Main Inpatient Pharmacy,23,TRANSFER_OUT,2026-04-14T20:02:07.275+00:00
E13-0398-06087-01,Sodium Hyaluronate,ARTELAC,0.24 %,FRN Retail Branch - Al Ain,FGH Main Inpatient Pharmacy,8,TRANSFER_OUT,2026-04-15T03:44:22.558+00:00
E13-0398-06087-01,Sodium Hyaluronate,ARTELAC,0.24 %,FRN Retail Branch - Al Ain,FGH Main Inpatient Pharmacy,8,TRANSFER_IN,2026-04-15T03:44:22.558+00:00
F91-D549-18140-01,Sitagliptin Hydrochloride Monohydrate 56.69mg equivalent to Sitagliptin 50mg,EMIJAN,50 mg/1Tablet,Emergency Pharmacy,FGH OR Pharmacy,8,TRANSFER_OUT,2026-04-15T13:20:34.084+00:00
F91-D549-18140-01,Sitagliptin Hydrochloride Monohydrate 56.69mg equivalent to Sitagliptin 50mg,EMIJAN,50 mg/1Tablet,Emergency Pharmacy,FGH OR Pharmacy,8,TRANSFER_IN,2026-04-15T13:20:34.084+00:00
E41-5827-04132-01,Olanzapine,ZYPREXA VELOTAB,5 mg,FGH Emergency Pharmacy,FSC Ambulatory Care Pharmacy,45,TRANSFER_IN,2026-04-15T21:40:25.557+00:00
E41-5827-04132-01,Olanzapine,ZYPREXA VELOTAB,5 mg,FGH Emergency Pharmacy,FSC Ambulatory Care Pharmacy,45,TRANSFER_OUT,2026-04-15T21:40:25.557+00:00
FT0-5671-00944-01,Capecitabine,XELODA,500 mg,FSC Ambulatory Care Pharmacy,FGH OR Pharmacy,3,TRANSFER_IN,2026-04-15T22:04:14.222+00:00
FT0-5671-00944-01,Capecitabine,XELODA,500 mg,FSC Ambulatory Care Pharmacy,FGH OR Pharmacy,3,TRANSFER_OUT,2026-04-15T22:04:14.222+00:00
FQ3-A670-11584-02,"Atropa belladonna D6,Euphrasia 3c D6,Mercurius sublimatus corrosivus D6",Similasan Dry Eye Relief,"303.333 mg/1g,303.333 mg/1g,303.333 mg/1g",Emergency Pharmacy,FGH ICU Pharmacy,12,TRANSFER_OUT,2026-04-16T05:31:44.713+00:00
FQ3-A670-11584-02,"Atropa belladonna D6,Euphrasia 3c D6,Mercurius sublimatus corrosivus D6",Similasan Dry Eye Relief,"303.333 mg/1g,303.333 mg/1g,303.333 mg/1g",Emergency Pharmacy,FGH ICU Pharmacy,12,TRANSFER_IN,2026-04-16T05:31:44.713+00:00
EY2-C548-02568-01,Gliclazide,Glican MR,60 mg,FRN Retail Branch - Abu Dhabi,FGH Emergency Pharmacy,16,TRANSFER_OUT,2026-04-16T12:04:44.436+00:00
EY2-C548-02568-01,Gliclazide,Glican MR,60 mg,FRN Retail Branch - Abu Dhabi,FGH Emergency Pharmacy,16,TRANSFER_IN,2026-04-16T12:04:44.436+00:00
F38-2125-01455-01,Combination - GELTEC POWER PLUS,GELTEC POWER PLUS,Combination,FSC Oncology Pharmacy,FRN Retail Branch - Al Ain,39,TRANSFER_OUT,2026-04-16T20:13:59.758+00:00
F38-2125-01455-01,Combination - GELTEC POWER PLUS,GELTEC POWER PLUS,Combination,FSC Oncology Pharmacy,FRN Retail Branch - Al Ain,39,TRANSFER_IN,2026-04-16T20:13:59.758+00:00
EU7-A442-17579-01,Mistletoe plant extract,ISCADOR P,5 mg/1ml,FRN Retail Branch - Baniyas,FSC Cardiology Pharmacy,42,TRANSFER_IN,2026-04-16T23:22:16.533+00:00
EU7-A442-17579-01,Mistletoe plant extract,ISCADOR P,5 mg/1ml,FRN Retail Branch - Baniyas,FSC Cardiology Pharmacy,42,TRANSFER_OUT,2026-04-16T23:22:16.533+00:00
J39-0165-01178-01,"Chlorothymol,Laureth,Sodium oleate",ALCOS-ANAL,"0.7 mg,20 mg,200 mg",FRN Retail Branch - MBZ,FGH OR Pharmacy,11,TRANSFER_IN,2026-04-16T23:26:09.516+00:00
J39-0165-01178-01,"Chlorothymol,Laureth,Sodium oleate",ALCOS-ANAL,"0.7 mg,20 mg,200 mg",FRN Retail Branch - MBZ,FGH OR Pharmacy,11,TRANSFER_OUT,2026-04-16T23:26:09.516+00:00
E11-7480-07417-01,Budesonide,JORVEZA,1 mg,FRN Retail Branch - Al Ain,FGH Emergency Pharmacy,22,TRANSFER_OUT,2026-04-17T02:09:13.299+00:00
E11-7480-07417-01,Budesonide,JORVEZA,1 mg,FRN Retail Branch - Al Ain,FGH Emergency Pharmacy,22,TRANSFER_IN,2026-04-17T02:09:13.299+00:00
E11-5398-05682-01,Ursodeoxycholic Acid,URSOFALK,250 mg,FRN Retail Branch - MBZ,FRN Retail Branch - Al Ain,81,TRANSFER_OUT,2026-04-17T10:55:58.906+00:00
E11-5398-05682-01,Ursodeoxycholic Acid,URSOFALK,250 mg,FRN Retail Branch - MBZ,FRN Retail Branch - Al Ain,81,TRANSFER_IN,2026-04-17T10:55:58.906+00:00
F72-3993-04361-01,"Caffeine,Paracetamol (Acetaminophen),Phenylephrine Hydrochloride",PANADOL,"25 mg,500 mg,5 mg",FSC Cardiology Pharmacy,FGH Main Inpatient Pharmacy,58,TRANSFER_OUT,2026-04-17T17:07:14.638+00:00
F72-3993-04361-01,"Caffeine,Paracetamol (Acetaminophen),Phenylephrine Hydrochloride",PANADOL,"25 mg,500 mg,5 mg",FSC Cardiology Pharmacy,FGH Main Inpatient Pharmacy,58,TRANSFER_IN,2026-04-17T17:07:14.638+00:00
J41-0545-00603-01,Beclomethasone Dipropionate,BECLAZONE,250 mcg,FalconMed Main Pharmacy,FRN Retail Branch - Baniyas,8,TRANSFER_IN,2026-04-17T21:05:28.582+00:00
J41-0545-00603-01,Beclomethasone Dipropionate,BECLAZONE,250 mcg,FalconMed Main Pharmacy,FRN Retail Branch - Baniyas,8,TRANSFER_OUT,2026-04-17T21:05:28.582+00:00
F38-2125-01455-01,Combination - GELTEC POWER PLUS,GELTEC POWER PLUS,Combination,FRN Retail Branch - Al Ain,FGH Emergency Pharmacy,2,TRANSFER_OUT,2026-04-18T06:20:49.453+00:00
F38-2125-01455-01,Combination - GELTEC POWER PLUS,GELTEC POWER PLUS,Combination,FRN Retail Branch - Al Ain,FGH Emergency Pharmacy,2,TRANSFER_IN,2026-04-18T06:20:49.453+00:00
F91-D549-18140-01,Sitagliptin Hydrochloride Monohydrate 56.69mg equivalent to Sitagliptin 50mg,EMIJAN,50 mg/1Tablet,Emergency Pharmacy,FGH Pediatric Pharmacy,4,TRANSFER_OUT,2026-04-18T13:00:19.266+00:00
F91-D549-18140-01,Sitagliptin Hydrochloride Monohydrate 56.69mg equivalent to Sitagliptin 50mg,EMIJAN,50 mg/1Tablet,Emergency Pharmacy,FGH Pediatric Pharmacy,4,TRANSFER_IN,2026-04-18T13:00:19.266+00:00
EK2-A365-10933-01,"Sodium chloride,Potassium Chloride",POTASSIUM CHLORIDE AND SODIUM CHLORIDE VIAFLO,"9 g/1000ml,1.5 g/1000ml",FRN Retail Branch - MBZ,FGH Main Inpatient Pharmacy,19,TRANSFER_OUT,2026-04-18T13:47:54.221+00:00
EK2-A365-10933-01,"Sodium chloride,Potassium Chloride",POTASSIUM CHLORIDE AND SODIUM CHLORIDE VIAFLO,"9 g/1000ml,1.5 g/1000ml",FRN Retail Branch - MBZ,FGH Main Inpatient Pharmacy,19,TRANSFER_IN,2026-04-18T13:47:54.221+00:00
J23-3577-04360-01,"Ascorbic Acid (Vitamin C),Paracetamol (Acetaminophen),Phenylephrine Hydrochloride",NEOMOL COLD & FLU,"40 mg,600 mg,10 mg",FRN Retail Branch - Khalifa City,FGH OR Pharmacy,5,TRANSFER_IN,2026-04-18T14:58:37.122+00:00
J23-3577-04360-01,"Ascorbic Acid (Vitamin C),Paracetamol (Acetaminophen),Phenylephrine Hydrochloride",NEOMOL COLD & FLU,"40 mg,600 mg,10 mg",FRN Retail Branch - Khalifa City,FGH OR Pharmacy,5,TRANSFER_OUT,2026-04-18T14:58:37.122+00:00
EK2-A365-10933-01,"Sodium chloride,Potassium Chloride",POTASSIUM CHLORIDE AND SODIUM CHLORIDE VIAFLO,"9 g/1000ml,1.5 g/1000ml",FRN Retail Branch - MBZ,FGH Emergency Pharmacy,7,TRANSFER_OUT,2026-04-18T15:50:21.745+00:00
EK2-A365-10933-01,"Sodium chloride,Potassium Chloride",POTASSIUM CHLORIDE AND SODIUM CHLORIDE VIAFLO,"9 g/1000ml,1.5 g/1000ml",FRN Retail Branch - MBZ,FGH Emergency Pharmacy,7,TRANSFER_IN,2026-04-18T15:50:21.745+00:00
E50-2608-00080-01,"Acacia,Ascorbic Acid (Vitamin C),Iceland Moss Extract",ISLA CASSIS,"467.75 mg,10 mg,80 mg",FRN Retail Branch - Al Ain,FGH Emergency Pharmacy,19,TRANSFER_OUT,2026-04-18T17:56:39.507+00:00
E50-2608-00080-01,"Acacia,Ascorbic Acid (Vitamin C),Iceland Moss Extract",ISLA CASSIS,"467.75 mg,10 mg,80 mg",FRN Retail Branch - Al Ain,FGH Emergency Pharmacy,19,TRANSFER_IN,2026-04-18T17:56:39.507+00:00
F92-2145-03527-01,"Ginkgo Biloba Extract,Lyophilized Fish Roe",GENTAPLEX,"30 mg,570 mg",Emergency Pharmacy,FGH OR Pharmacy,3,TRANSFER_IN,2026-04-19T04:31:49.839+00:00
F92-2145-03527-01,"Ginkgo Biloba Extract,Lyophilized Fish Roe",GENTAPLEX,"30 mg,570 mg",Emergency Pharmacy,FGH OR Pharmacy,3,TRANSFER_OUT,2026-04-19T04:31:49.839+00:00
J91-8858-02821-01,Hydrocortisone,ORIOCORT,10 mg,FRN Retail Branch - Abu Dhabi,FGH ICU Pharmacy,39,TRANSFER_OUT,2026-04-19T09:16:44.334+00:00
J91-8858-02821-01,Hydrocortisone,ORIOCORT,10 mg,FRN Retail Branch - Abu Dhabi,FGH ICU Pharmacy,39,TRANSFER_IN,2026-04-19T09:16:44.334+00:00
EU7-A442-17781-01,Iscador P 10mg - Mistletoe plant extract (50 mg extract corresponds to an amount of 10 mg fresh plant material),ISCADOR P,50 mg/ml,FRN Retail Branch - Khalifa City,FGH Pediatric Pharmacy,1,TRANSFER_OUT,2026-04-19T14:02:06.878+00:00
EU7-A442-17781-01,Iscador P 10mg - Mistletoe plant extract (50 mg extract corresponds to an amount of 10 mg fresh plant material),ISCADOR P,50 mg/ml,FRN Retail Branch - Khalifa City,FGH Pediatric Pharmacy,1,TRANSFER_IN,2026-04-19T14:02:06.878+00:00
E04-2481-02913-02,Ibuprofen,IBUTOP,50 mg/g,FSC Ambulatory Care Pharmacy,FalconMed Main Pharmacy,32,TRANSFER_IN,2026-04-19T17:35:09.335+00:00
E04-2481-02913-02,Ibuprofen,IBUTOP,50 mg/g,FSC Ambulatory Care Pharmacy,FalconMed Main Pharmacy,32,TRANSFER_OUT,2026-04-19T17:35:09.335+00:00
FQ3-A670-11584-02,"Atropa belladonna D6,Euphrasia 3c D6,Mercurius sublimatus corrosivus D6",Similasan Dry Eye Relief,"303.333 mg/1g,303.333 mg/1g,303.333 mg/1g",FSC Ambulatory Care Pharmacy,Emergency Pharmacy,28,TRANSFER_OUT,2026-04-19T18:22:29.643+00:00
FQ3-A670-11584-02,"Atropa belladonna D6,Euphrasia 3c D6,Mercurius sublimatus corrosivus D6",Similasan Dry Eye Relief,"303.333 mg/1g,303.333 mg/1g,303.333 mg/1g",FSC Ambulatory Care Pharmacy,Emergency Pharmacy,28,TRANSFER_IN,2026-04-19T18:22:29.643+00:00
E08-1742-02205-01,Ethinylestradiol,ETHINYL ESTRADIOL,10 mcg,FRN Retail Branch - Khalifa City,FGH Pediatric Pharmacy,4,TRANSFER_IN,2026-04-20T03:03:34.794+00:00
E08-1742-02205-01,Ethinylestradiol,ETHINYL ESTRADIOL,10 mcg,FRN Retail Branch - Khalifa City,FGH Pediatric Pharmacy,4,TRANSFER_OUT,2026-04-20T03:03:34.794+00:00
FR8-A685-11431-01,"Acetylcysteine,Taurine",ALBUNIL,"150 mg,500 mg",FRN Retail Branch - Khalifa City,FGH OR Pharmacy,5,TRANSFER_IN,2026-04-20T15:56:20.884+00:00
FR8-A685-11431-01,"Acetylcysteine,Taurine",ALBUNIL,"150 mg,500 mg",FRN Retail Branch - Khalifa City,FGH OR Pharmacy,5,TRANSFER_OUT,2026-04-20T15:56:20.884+00:00
EA1-E285-20046-01,Fentanyl Citrate,XALTRIX,600 mcg,Emergency Pharmacy,FRN Retail Branch - Abu Dhabi,19,TRANSFER_OUT,2026-04-21T02:53:51.756+00:00
EA1-E285-20046-01,Fentanyl Citrate,XALTRIX,600 mcg,Emergency Pharmacy,FRN Retail Branch - Abu Dhabi,19,TRANSFER_IN,2026-04-21T02:53:51.756+00:00
F69-5059-05741-01,Vaccine-Pneumococcal polysaccharide from each of 10 capsular types of Streptococcus pneumoniae (conjugated to carrier proteins of Diphtheria toxoid- H. influenzae & Tetanus toxoid) adsorbed,SYNFLORIX VACCINE,1 mgor3mgofeach/0.5ml,FRN Retail Branch - Baniyas,FGH OR Pharmacy,1,TRANSFER_IN,2026-04-21T14:56:28.069+00:00
F69-5059-05741-01,Vaccine-Pneumococcal polysaccharide from each of 10 capsular types of Streptococcus pneumoniae (conjugated to carrier proteins of Diphtheria toxoid- H. influenzae & Tetanus toxoid) adsorbed,SYNFLORIX VACCINE,1 mgor3mgofeach/0.5ml,FRN Retail Branch - Baniyas,FGH OR Pharmacy,1,TRANSFER_OUT,2026-04-21T14:56:28.069+00:00
E50-5249-01168-01,"Chlorhexidine Gluconate,Lidocaine Hydrochloride",TRACHISAN SORE THROAT GARGLE,"2 mg/ml,1 mg/ml",FRN Retail Branch - Al Ain,FSC Day Surgery Pharmacy,32,TRANSFER_IN,2026-04-21T17:59:39.392+00:00
E50-5249-01168-01,"Chlorhexidine Gluconate,Lidocaine Hydrochloride",TRACHISAN SORE THROAT GARGLE,"2 mg/ml,1 mg/ml",FRN Retail Branch - Al Ain,FSC Day Surgery Pharmacy,32,TRANSFER_OUT,2026-04-21T17:59:39.392+00:00
FL9-A490-11352-01,Spirulina Platensis,Spirularin,1 %w/w/100ml,FRN Retail Branch - Khalifa City,FRN Retail Branch - MBZ,24,TRANSFER_IN,2026-04-22T07:58:13.183+00:00
FL9-A490-11352-01,Spirulina Platensis,Spirularin,1 %w/w/100ml,FRN Retail Branch - Khalifa City,FRN Retail Branch - MBZ,24,TRANSFER_OUT,2026-04-22T07:58:13.183+00:00
EY2-E273-04297-01,Pantoprazole Sodium,ZOLPRA,40 mg,Emergency Pharmacy,FGH OR Pharmacy,9,TRANSFER_OUT,2026-04-22T18:05:57.758+00:00
EY2-E273-04297-01,Pantoprazole Sodium,ZOLPRA,40 mg,Emergency Pharmacy,FGH OR Pharmacy,9,TRANSFER_IN,2026-04-22T18:05:57.758+00:00
FR8-A685-11431-01,"Acetylcysteine,Taurine",ALBUNIL,"150 mg,500 mg",FRN Retail Branch - Khalifa City,FGH ICU Pharmacy,22,TRANSFER_OUT,2026-04-23T00:30:00.669+00:00
FR8-A685-11431-01,"Acetylcysteine,Taurine",ALBUNIL,"150 mg,500 mg",FRN Retail Branch - Khalifa City,FGH ICU Pharmacy,22,TRANSFER_IN,2026-04-23T00:30:00.669+00:00
F98-C500-15793-01,"Vitamin C,Folic Acid,Vitamin D,Propolis Extract,Coneflower,Elderberry flowers (Sambucus nigra L.)", GRICAR PROPOLIS D3,"80 mg/10ml,200 mcg/10ml,5 mcg/10ml,150 mg/10ml,50 mg/10ml,40 mg/10ml",FalconMed Main Pharmacy,FSC Dialysis Pharmacy,18,TRANSFER_IN,2026-04-23T01:22:22.8+00:00
F98-C500-15793-01,"Vitamin C,Folic Acid,Vitamin D,Propolis Extract,Coneflower,Elderberry flowers (Sambucus nigra L.)", GRICAR PROPOLIS D3,"80 mg/10ml,200 mcg/10ml,5 mcg/10ml,150 mg/10ml,50 mg/10ml,40 mg/10ml",FalconMed Main Pharmacy,FSC Dialysis Pharmacy,18,TRANSFER_OUT,2026-04-23T01:22:22.8+00:00
E11-5398-05682-01,Ursodeoxycholic Acid,URSOFALK,250 mg,FRN Retail Branch - Al Ain,FGH Main Inpatient Pharmacy,25,TRANSFER_OUT,2026-04-23T13:04:50.305+00:00
E11-5398-05682-01,Ursodeoxycholic Acid,URSOFALK,250 mg,FRN Retail Branch - Al Ain,FGH Main Inpatient Pharmacy,25,TRANSFER_IN,2026-04-23T13:04:50.305+00:00
J91-8858-02821-01,Hydrocortisone,ORIOCORT,10 mg,FRN Retail Branch - Abu Dhabi,FGH Emergency Pharmacy,20,TRANSFER_OUT,2026-04-23T23:30:25.09+00:00
J91-8858-02821-01,Hydrocortisone,ORIOCORT,10 mg,FRN Retail Branch - Abu Dhabi,FGH Emergency Pharmacy,20,TRANSFER_IN,2026-04-23T23:30:25.09+00:00
F98-A720-12250-03,"Folic Acid,Iron (Liposomal Iron Pyrophosphate)",OXYFer forte ,"400 mcg,30 mg",Emergency Pharmacy,FGH Main Inpatient Pharmacy,10,TRANSFER_OUT,2026-04-24T01:24:40.637+00:00
F98-A720-12250-03,"Folic Acid,Iron (Liposomal Iron Pyrophosphate)",OXYFer forte ,"400 mcg,30 mg",Emergency Pharmacy,FGH Main Inpatient Pharmacy,10,TRANSFER_IN,2026-04-24T01:24:40.637+00:00
F26-1673-00132-02,"Adapalene,Benzoyl peroxide",EPIDUO,"1 mg/g,25 mg/g",FRN Retail Branch - Abu Dhabi,FGH Emergency Pharmacy,1,TRANSFER_OUT,2026-04-25T00:47:27.905+00:00
F26-1673-00132-02,"Adapalene,Benzoyl peroxide",EPIDUO,"1 mg/g,25 mg/g",FRN Retail Branch - Abu Dhabi,FGH Emergency Pharmacy,1,TRANSFER_IN,2026-04-25T00:47:27.905+00:00
EJ6-A363-10929-01,"Sodium Gluconate,Sodium Acetate,Magnesium Chloride (hexahydrate),Sodium chloride,Potassium Chloride,Glucose Monohydrate",PLASMA-LYTE 148 AND GLUCOSE VIAFLO,"5.02 g/1000ml,3.68 g/1000ml,0.3 g/1000ml,5.26 g/1000ml,0.37 g/1000ml,50 g/1000ml",FRN Retail Branch - Baniyas,FRN Retail Branch - Khalifa City,16,TRANSFER_OUT,2026-04-25T02:44:14.039+00:00
EJ6-A363-10929-01,"Sodium Gluconate,Sodium Acetate,Magnesium Chloride (hexahydrate),Sodium chloride,Potassium Chloride,Glucose Monohydrate",PLASMA-LYTE 148 AND GLUCOSE VIAFLO,"5.02 g/1000ml,3.68 g/1000ml,0.3 g/1000ml,5.26 g/1000ml,0.37 g/1000ml,50 g/1000ml",FRN Retail Branch - Baniyas,FRN Retail Branch - Khalifa City,16,TRANSFER_IN,2026-04-25T02:44:14.039+00:00
